,TV Ad Budget ($),Radio Ad Budget ($),Newspaper Ad Budget ($),Sales ($)
1,230.1,37.8,69.2,221
2,44.5,39.3,45.1,104
3,17.2,45.9,69.3,93
4,151.5,41.3,58.5,185
5,180.8,10.8,58.4,129
6,80.7,48.9,75,72
7,57.5,32.8,23.5,118
8,120.2,19.6,11.6,132
9,8.6,2.1,1,48
10,199.8,2.6,21.2,106
11,66.1,5.8,24.2,86
12,214.7,24,4,174
13,23.8,35.1,65.9,92.1
14,97.5,7.6,7.2,97
15,204.1,32.9,46,190
16,195.4,47.7,52.9,224
17,67.8,36.6,114,125
18,281.4,39.6,55.8,244
19,69.2,20.5,18.3,113
20,147.3,23.9,19.1,146
21,218.4,27.7,53.4,180
22,237.4,5.1,23.5,125
23,13.2,15.9,49.6,56
24,228.3,16.9,26.2,155
25,62.3,12.6,18.3,97
26,262.9,3.5,19.5,120
27,142.9,29.3,12.6,150
28,240.1,16.7,22.9,159
29,248.8,27.1,22.9,189
30,70.6,16,40.8,105
31,292.9,28.3,43.2,214
32,112.9,17.4,38.6,119
33,97.2,1.5,30,96
34,265.6,20,0.3,174
35,95.7,1.4,7.4,95
36,290.7,4.1,8.5,128
37,266.9,43.8,5,254
38,74.7,49.4,45.7,147
39,43.1,26.7,35.1,101
40,228,37.7,32,215
41,202.5,22.3,31.6,166
42,177,33.4,38.7,171
43,293.6,27.7,1.8,207
44,206.9,8.4,26.4,129
45,25.1,25.7,43.3,85
46,175.1,22.5,31.5,149
47,89.7,9.9,35.7,106
48,239.9,41.5,18.5,232
49,227.2,15.8,49.9,148
50,66.9,11.7,36.8,97
51,199.8,3.1,34.6,114
52,100.4,9.6,3.6,107
53,216.4,41.7,39.6,226
54,182.6,46.2,58.7,212
55,262.7,28.8,15.9,202
56,198.9,49.4,60,237
57,70.3,28.1,41.4,55
58,136.2,19.2,16.6,132
59,210.8,49.6,37.7,238.6
60,210.7,29.5,9.3,184
61,53.5,2,21.4,81
62,261.3,42.7,54.7,242
63,239.3,15.5,27.3,157
64,102.7,29.6,8.4,140
65,131.1,42.8,28.9,180
66,69,9.3,0.9,93
67,31.5,24.6,2.2,95
68,139.3,14.5,10.2,134
69,237.4,27.5,11,189
70,216.8,43.9,27.2,223
71,199.1,30.6,38.7,183
72,109.8,14.3,31.7,124
73,26.8,33,19.3,88
74,129.4,5.7,31.3,110
75,213.4,24.6,13.1,170
76,16.9,43.7,89.4,87
77,27.5,1.6,20.7,69
78,120.5,28.5,14.2,142
79,5.4,29.9,9.4,53
80,116,7.7,23.1,110
81,76.4,26.7,22.3,118
82,239.8,4.1,36.9,123
83,75.3,20.3,32.5,113
84,68.4,44.5,35.6,136
85,213.5,43,33.8,217
86,193.2,18.4,65.7,152
87,76.3,27.5,16,120
88,110.7,40.6,63.2,160
89,88.3,25.5,73.4,129
90,109.8,47.8,51.4,167
91,134.3,4.9,9.3,112
92,28.6,1.5,33,73
93,217.7,33.5,59,194.1
94,250.9,36.5,72.3,222
95,107.4,14,10.9,115
96,163.3,31.6,52.9,169
97,197.6,3.5,5.9,117
98,184.9,21,22,155
99,289.7,42.3,51.2,254
100,135.2,41.7,45.9,172
101,222.4,4.3,49.8,117
102,296.4,36.3,100.9,238
103,280.2,10.1,21.4,148
104,187.9,17.2,17.9,147
105,238.2,34.3,5.3,207
106,137.9,46.4,59,192
107,25,11,29.7,72
108,90.4,0.3,23.2,87
109,13.1,0.4,25.6,53
110,255.4,26.9,5.5,198
111,225.8,8.2,56.5,134
112,241.7,38,23.2,218
113,175.7,15.4,2.4,141
114,209.6,20.6,10.7,159
115,78.2,46.8,34.5,146
116,75.1,35,52.7,126
117,139.2,14.3,25.6,122
118,76.4,0.8,14.8,94
119,125.7,36.9,79.2,159
120,19.4,16,22.3,66
121,141.3,26.8,46.2,155
122,18.8,21.7,50.4,70
123,224,2.4,15.6,116
124,123.1,34.6,12.4,152
125,229.5,32.3,74.2,197
126,87.2,11.8,25.9,106.3
127,7.8,38.9,50.6,66
128,80.2,0,9.2,88
129,220.3,49,3.2,247
130,59.6,12,43.1,97
131,0.7,39.6,8.7,56
132,265.2,2.9,43,127
133,8.4,27.2,2.1,57
134,219.8,33.5,45.1,196
135,36.9,38.6,65.6,108
136,48.3,47,8.5,116
137,25.6,39,9.3,95
138,273.7,28.9,59.7,208
139,43,25.9,20.5,96
140,184.9,43.9,1.7,207
141,73.4,17,12.9,109
142,193.7,35.4,75.6,192
143,220.5,33.2,37.9,201
144,104.6,5.7,34.4,104
145,96.2,14.8,38.9,114
146,140.3,1.9,9,103
147,240.1,7.3,8.7,132
148,243.2,49,44.3,254
149,38,40.3,11.9,109
150,44.7,25.8,20.6,101
151,280.7,13.9,37,161
152,121,8.4,48.7,116
153,197.6,23.3,14.2,166
154,171.3,39.7,37.7,190
155,187.8,21.1,9.5,156
156,4.1,11.6,5.7,52
157,93.9,43.5,50.5,153
158,149.8,1.3,24.3,101
159,11.7,36.9,45.2,73
160,131.7,18.4,34.6,129
161,172.5,18.1,30.7,144
162,85.7,35.8,49.3,133
163,188.4,18.1,25.6,149.1
164,163.5,36.8,7.4,180
165,117.2,14.7,5.4,119
166,234.5,3.4,84.8,119
167,17.9,37.6,21.6,80
168,206.8,5.2,19.4,122
169,215.4,23.6,57.6,171
170,284.3,10.6,6.4,150
171,50,11.6,18.4,84
172,164.5,20.9,47.4,145
173,19.6,20.1,17,76
174,168.4,7.1,12.8,117
175,222.4,3.4,13.1,115
176,276.9,48.9,41.8,270
177,248.4,30.2,20.3,202
178,170.2,7.8,35.2,117
179,276.7,2.3,23.7,118
180,165.6,10,17.6,126.4
181,156.6,2.6,8.3,105
182,218.5,5.4,27.4,122
183,56.2,5.7,29.7,87.6
184,287.6,43,71.8,262
185,253.8,21.3,30,176
186,205,45.1,19.6,226
187,139.5,2.1,26.6,103
188,191.1,28.7,18.2,173
189,286,13.9,3.7,159
190,18.7,12.1,23.4,67
191,39.5,41.1,5.8,108
192,75.5,10.8,6,99
193,17.2,4.1,31.6,59
194,166.8,42,3.6,196
195,149.7,35.6,6,173
196,38.2,3.7,13.8,76
197,94.2,4.9,8.1,97
198,177,9.3,6.4,128.9
199,283.6,42,66.2,255
200,232.1,8.6,8.7,134
